               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.014944,           0.0056956,          0.00050647,             0.91267,             0.93129,             0.97537,             0.81487,           0.0083363,            0.003607,           0.0015811,            0.008317,            0.008317,            0.008317
                  87,            0.015289,           0.0054293,          0.00051267,              0.9885,             0.99319,             0.99437,             0.87261,           0.0071231,           0.0029882,          0.00022112,           0.0082972,           0.0082972,           0.0082972
                  88,            0.014971,           0.0055472,          0.00062309,             0.98924,             0.98163,             0.99345,             0.83789,           0.0081751,           0.0031579,          0.00026883,           0.0082774,           0.0082774,           0.0082774
                  89,            0.016224,           0.0056447,          0.00058918,             0.97166,             0.96102,             0.97698,             0.82019,           0.0084615,           0.0042672,          0.00025189,           0.0082576,           0.0082576,           0.0082576
                  90,            0.015191,           0.0056245,          0.00047828,             0.98692,             0.98436,             0.99424,               0.858,            0.007487,           0.0030965,          0.00028415,           0.0082378,           0.0082378,           0.0082378
                  91,            0.013598,           0.0055402,          0.00052293,             0.99699,             0.99053,             0.99419,             0.87095,           0.0073832,           0.0030044,           0.0011776,            0.008218,            0.008218,            0.008218
                  92,            0.012315,            0.005184,          0.00041174,             0.99281,              0.9856,              0.9942,             0.87931,           0.0066773,           0.0027967,          0.00031634,           0.0081982,           0.0081982,           0.0081982
                  93,            0.013521,           0.0052348,          0.00039156,             0.97344,             0.97253,               0.993,             0.86873,           0.0070987,           0.0028453,          0.00064931,           0.0081784,           0.0081784,           0.0081784
                  94,             0.01363,           0.0052019,          0.00052596,             0.99087,             0.98761,             0.99434,             0.88158,            0.006712,           0.0028429,          0.00019997,           0.0081586,           0.0081586,           0.0081586
                  95,            0.016079,           0.0052548,          0.00060547,             0.96879,              0.9779,             0.99363,             0.87142,           0.0069371,           0.0029871,          0.00077135,           0.0081388,           0.0081388,           0.0081388
                  96,            0.013745,            0.005181,           0.0004391,             0.99209,              0.9939,             0.99431,             0.88441,            0.006604,           0.0027938,          0.00020078,            0.008119,            0.008119,            0.008119
                  97,            0.012575,            0.005156,          0.00041007,             0.99513,             0.98831,             0.99436,             0.87169,           0.0070032,           0.0028543,          0.00020787,           0.0080992,           0.0080992,           0.0080992
                  98,             0.01306,           0.0051079,          0.00042222,             0.99757,             0.98983,             0.99435,             0.88877,           0.0064145,           0.0027232,          0.00020284,           0.0080794,           0.0080794,           0.0080794
                  99,            0.012936,           0.0051534,          0.00044666,             0.93529,             0.94181,             0.98241,             0.82829,           0.0083286,           0.0034377,           0.0011524,           0.0080596,           0.0080596,           0.0080596
                 100,            0.013281,           0.0051846,          0.00042623,             0.99563,             0.98482,             0.98988,             0.86599,           0.0069129,              0.0029,          0.00019298,           0.0080398,           0.0080398,           0.0080398
                 101,            0.012951,           0.0050657,          0.00056377,             0.99773,             0.99208,             0.99439,             0.87449,           0.0067493,           0.0028487,          0.00019773,             0.00802,             0.00802,             0.00802
                 102,              0.0143,           0.0048785,          0.00043909,             0.99215,             0.99333,             0.99435,             0.88469,           0.0063905,           0.0027854,          0.00019097,           0.0080002,           0.0080002,           0.0080002
                 103,            0.012331,           0.0050536,          0.00048192,             0.99528,             0.98678,             0.99418,             0.85412,           0.0072089,           0.0030198,          0.00019584,           0.0079804,           0.0079804,           0.0079804
                 104,            0.013219,           0.0051266,              0.0005,             0.98995,             0.98445,             0.99416,             0.86039,           0.0071494,           0.0031311,          0.00025573,           0.0079606,           0.0079606,           0.0079606
                 105,            0.013187,           0.0049988,          0.00057371,             0.92113,             0.95526,              0.9871,             0.86983,           0.0067797,           0.0030368,           0.0017322,           0.0079408,           0.0079408,           0.0079408
                 106,            0.012803,           0.0052598,          0.00044003,             0.98622,             0.97937,             0.98999,             0.87764,           0.0068137,           0.0028177,          0.00024758,            0.007921,            0.007921,            0.007921
                 107,            0.014124,            0.005042,           0.0009746,             0.99286,             0.97456,              0.9931,             0.85363,           0.0070423,           0.0028542,          0.00033046,           0.0079012,           0.0079012,           0.0079012
                 108,            0.012734,           0.0050244,          0.00035436,             0.98461,             0.99034,             0.99405,             0.86525,           0.0070823,           0.0030726,          0.00023971,           0.0078814,           0.0078814,           0.0078814
                 109,            0.012474,           0.0049931,          0.00040949,             0.98884,             0.98789,             0.99418,             0.88242,           0.0063519,           0.0027598,          0.00021057,           0.0078616,           0.0078616,           0.0078616
                 110,            0.012279,           0.0050927,          0.00037146,             0.93062,             0.98131,             0.99055,             0.86996,            0.006853,           0.0029643,           0.0010433,           0.0078418,           0.0078418,           0.0078418
                 111,            0.013616,           0.0051309,          0.00039455,             0.98771,             0.98789,             0.99402,             0.88268,           0.0064279,           0.0028019,          0.00023878,            0.007822,            0.007822,            0.007822
                 112,            0.013077,           0.0052162,          0.00051357,             0.99132,             0.98414,             0.99402,              0.8571,           0.0070872,           0.0029861,          0.00018923,           0.0078022,           0.0078022,           0.0078022
                 113,            0.012705,           0.0051688,          0.00045154,             0.91001,             0.84175,             0.95571,             0.80838,           0.0076627,           0.0040057,           0.0032982,           0.0077824,           0.0077824,           0.0077824
                 114,            0.013141,           0.0051175,          0.00044383,              0.9905,              0.9776,             0.98971,             0.86863,           0.0065932,            0.002908,          0.00039578,           0.0077626,           0.0077626,           0.0077626
                 115,             0.01196,           0.0051966,          0.00046833,             0.99315,             0.98968,             0.99431,             0.87771,           0.0064955,           0.0027394,           0.0002042,           0.0077428,           0.0077428,           0.0077428
                 116,            0.012447,            0.005108,          0.00071525,              0.9937,             0.99214,             0.99428,             0.88197,           0.0065564,           0.0027629,          0.00017132,            0.007723,            0.007723,            0.007723
                 117,            0.012962,           0.0050286,          0.00049708,             0.99297,             0.99332,             0.99437,             0.88744,           0.0062257,           0.0027683,           0.0001699,           0.0077032,           0.0077032,           0.0077032
                 118,            0.011865,           0.0049584,          0.00037139,             0.99144,             0.98912,              0.9943,             0.88423,           0.0063448,           0.0027768,          0.00017647,           0.0076834,           0.0076834,           0.0076834
                 119,            0.012842,           0.0051366,          0.00055047,             0.99395,             0.98895,              0.9942,             0.88561,            0.006425,            0.002779,          0.00018227,           0.0076636,           0.0076636,           0.0076636
