               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.014831,           0.0051623,          0.00051681,              0.9938,             0.99565,             0.99433,               0.872,           0.0084771,           0.0030549,          0.00036811,           0.0091288,           0.0091288,           0.0091288
                  46,            0.021128,            0.005152,           0.0004728,             0.99639,             0.99504,             0.99437,             0.87745,            0.007621,            0.003057,          0.00036162,            0.009109,            0.009109,            0.009109
                  47,            0.016311,           0.0051509,          0.00048851,             0.99342,             0.99022,             0.99426,              0.8658,           0.0083035,           0.0030901,          0.00042418,           0.0090892,           0.0090892,           0.0090892
                  48,             0.01565,           0.0051929,           0.0004834,             0.98719,             0.99218,             0.99426,             0.87074,           0.0077034,           0.0030306,          0.00044961,           0.0090694,           0.0090694,           0.0090694
                  49,            0.017054,           0.0051516,          0.00049219,             0.99443,             0.98923,              0.9943,             0.87608,           0.0080816,           0.0030296,          0.00041269,           0.0090496,           0.0090496,           0.0090496
                  50,            0.016965,           0.0051352,          0.00049248,             0.99459,             0.99246,             0.99422,             0.87523,           0.0075785,           0.0029962,          0.00036088,           0.0090298,           0.0090298,           0.0090298
                  51,            0.014867,           0.0050468,          0.00045944,             0.99248,             0.99639,             0.99431,             0.88012,           0.0078671,           0.0029955,          0.00035835,             0.00901,             0.00901,             0.00901
                  52,            0.015987,            0.005042,          0.00048333,             0.89215,             0.91084,             0.97788,             0.85056,           0.0086855,           0.0035739,           0.0031049,           0.0089902,           0.0089902,           0.0089902
                  53,            0.016038,            0.005115,          0.00049173,             0.99725,             0.99426,             0.99446,             0.88396,           0.0074393,           0.0029463,          0.00033269,           0.0089704,           0.0089704,           0.0089704
                  54,            0.014179,           0.0050799,          0.00045595,             0.99566,             0.99519,              0.9944,             0.87326,           0.0072192,           0.0029478,          0.00035174,           0.0089506,           0.0089506,           0.0089506
                  55,            0.016731,           0.0050732,          0.00045279,             0.98835,             0.99515,             0.99437,             0.88344,           0.0072553,            0.002953,          0.00040851,           0.0089308,           0.0089308,           0.0089308
                  56,            0.016573,           0.0049016,          0.00042897,             0.99094,              0.9964,             0.99427,             0.87647,           0.0077053,           0.0029604,           0.0003503,            0.008911,            0.008911,            0.008911
                  57,            0.013141,           0.0050261,          0.00043936,             0.99492,             0.99472,             0.99444,             0.88389,           0.0073181,           0.0030071,           0.0003146,           0.0088912,           0.0088912,           0.0088912
                  58,            0.014967,           0.0048807,          0.00042429,             0.99326,             0.98965,             0.99442,             0.88623,           0.0067489,            0.002939,          0.00041723,           0.0088714,           0.0088714,           0.0088714
                  59,             0.01709,           0.0050549,          0.00047101,             0.98956,             0.98147,             0.99213,             0.86837,           0.0076873,           0.0031007,          0.00038755,           0.0088516,           0.0088516,           0.0088516
                  60,            0.013629,            0.005055,          0.00045523,             0.99459,             0.99384,             0.99417,             0.87906,           0.0070631,           0.0029333,          0.00034661,           0.0088318,           0.0088318,           0.0088318
                  61,            0.018668,           0.0051272,          0.00047182,             0.98961,              0.9948,             0.99447,             0.88289,           0.0068955,           0.0029072,          0.00034289,            0.008812,            0.008812,            0.008812
                  62,            0.015488,           0.0049491,          0.00041504,             0.99575,             0.99086,             0.99431,             0.88349,           0.0077447,           0.0029033,          0.00030612,           0.0087922,           0.0087922,           0.0087922
                  63,            0.013491,           0.0048952,          0.00047934,             0.99269,             0.99696,             0.99441,             0.88667,           0.0070908,           0.0028894,          0.00035157,           0.0087724,           0.0087724,           0.0087724
                  64,            0.014364,           0.0048642,          0.00042484,             0.99698,             0.99483,              0.9944,              0.8864,             0.00724,           0.0028648,           0.0003054,           0.0087526,           0.0087526,           0.0087526
                  65,            0.016363,           0.0049984,          0.00047772,             0.98845,             0.99398,             0.99429,             0.88943,           0.0071771,           0.0029687,          0.00034132,           0.0087328,           0.0087328,           0.0087328
                  66,             0.01614,           0.0049341,          0.00043298,             0.99363,             0.99519,             0.99444,             0.89192,           0.0072989,           0.0029343,          0.00031152,            0.008713,            0.008713,            0.008713
                  67,            0.014272,           0.0047663,          0.00044358,              0.9873,             0.99278,             0.99437,             0.88361,           0.0069517,           0.0029632,          0.00050908,           0.0086932,           0.0086932,           0.0086932
                  68,            0.012856,           0.0047887,          0.00042985,             0.99652,             0.99475,             0.99433,             0.89212,           0.0069887,           0.0028545,           0.0003035,           0.0086734,           0.0086734,           0.0086734
                  69,            0.018231,            0.004807,          0.00043468,              0.9955,              0.9905,             0.99434,             0.88875,           0.0068399,           0.0028998,          0.00033672,           0.0086536,           0.0086536,           0.0086536
                  70,            0.018015,           0.0046908,          0.00038964,             0.99521,             0.99226,              0.9944,             0.88046,           0.0069988,           0.0029077,          0.00029422,           0.0086338,           0.0086338,           0.0086338
                  71,            0.018843,           0.0048488,          0.00041753,             0.99401,             0.99639,             0.99443,             0.88628,           0.0068636,           0.0028821,          0.00029767,            0.008614,            0.008614,            0.008614
                  72,            0.015655,           0.0047482,          0.00038053,             0.99232,             0.99666,             0.99437,              0.8879,           0.0065212,           0.0028525,          0.00029309,           0.0085942,           0.0085942,           0.0085942
                  73,             0.01745,           0.0047189,           0.0003857,             0.99088,             0.99665,             0.99444,             0.88737,           0.0069674,           0.0027626,          0.00029741,           0.0085744,           0.0085744,           0.0085744
                  74,            0.012924,           0.0046981,          0.00038646,             0.99102,             0.99483,             0.99431,             0.89452,           0.0065769,           0.0028464,          0.00031724,           0.0085546,           0.0085546,           0.0085546
                  75,            0.019718,           0.0047107,          0.00038991,             0.99243,             0.99575,             0.99432,             0.88681,           0.0066617,           0.0028492,          0.00031618,           0.0085348,           0.0085348,           0.0085348
                  76,            0.013415,           0.0045733,          0.00038147,             0.99589,             0.99819,             0.99436,             0.88627,            0.006752,           0.0028009,          0.00026394,            0.008515,            0.008515,            0.008515
                  77,            0.015234,           0.0047756,          0.00040212,             0.99293,             0.99699,             0.99435,             0.88779,           0.0067123,            0.002809,          0.00029405,           0.0084952,           0.0084952,           0.0084952
                  78,             0.01383,           0.0046153,          0.00035773,             0.99518,             0.99426,             0.99432,             0.88921,           0.0065651,           0.0027808,          0.00026741,           0.0084754,           0.0084754,           0.0084754
                  79,            0.013169,           0.0047358,          0.00036205,             0.98659,             0.99471,             0.99434,             0.89033,           0.0068675,             0.00284,          0.00033317,           0.0084556,           0.0084556,           0.0084556
                  80,            0.017811,           0.0046906,          0.00036247,             0.99243,             0.99691,              0.9944,             0.89209,           0.0067451,           0.0027549,          0.00034824,           0.0084358,           0.0084358,           0.0084358
                  81,            0.016239,            0.004605,          0.00036421,             0.99411,             0.99436,             0.99434,             0.88954,           0.0067903,           0.0027705,          0.00026566,            0.008416,            0.008416,            0.008416
                  82,            0.016098,           0.0045964,          0.00037085,             0.99267,             0.99749,             0.99431,             0.89126,           0.0068141,           0.0028163,          0.00026903,           0.0083962,           0.0083962,           0.0083962
                  83,            0.014124,           0.0045292,          0.00037259,               0.992,             0.99213,             0.99425,             0.87413,           0.0067063,            0.002756,          0.00042889,           0.0083764,           0.0083764,           0.0083764
                  84,            0.016783,           0.0046181,          0.00037881,             0.98884,             0.99647,             0.99436,             0.88797,           0.0066098,           0.0027566,            0.000304,           0.0083566,           0.0083566,           0.0083566
                  85,            0.014489,           0.0046308,          0.00036755,             0.98982,             0.99699,             0.99435,             0.89251,           0.0064185,           0.0027641,          0.00031797,           0.0083368,           0.0083368,           0.0083368
                  86,            0.013162,           0.0045793,          0.00035562,             0.99669,             0.99809,             0.99439,              0.8952,           0.0065035,           0.0028213,           0.0002529,            0.008317,            0.008317,            0.008317
                  87,            0.015789,           0.0046034,          0.00034569,             0.99534,             0.99819,             0.99436,             0.89199,            0.006653,           0.0027266,          0.00026674,           0.0082972,           0.0082972,           0.0082972
                  88,            0.015251,           0.0045772,          0.00035424,             0.99089,             0.99639,             0.99438,             0.89105,           0.0066259,           0.0027563,          0.00030417,           0.0082774,           0.0082774,           0.0082774
                  89,            0.015617,             0.00455,          0.00031827,             0.99333,             0.99519,              0.9943,             0.89447,           0.0066464,           0.0027756,          0.00024623,           0.0082576,           0.0082576,           0.0082576
                  90,            0.018768,           0.0044842,          0.00035027,              0.9922,             0.99643,             0.99428,             0.89214,           0.0064049,           0.0027761,          0.00028736,           0.0082378,           0.0082378,           0.0082378
                  91,            0.013393,           0.0045409,          0.00034618,             0.99696,             0.99617,             0.99436,             0.89663,           0.0063888,           0.0027601,          0.00025455,            0.008218,            0.008218,            0.008218
                  92,            0.013601,           0.0044286,          0.00033458,             0.99197,             0.99579,              0.9943,             0.89529,           0.0066109,           0.0027185,          0.00025082,           0.0081982,           0.0081982,           0.0081982
                  93,            0.012162,           0.0045512,          0.00033439,             0.98972,             0.99321,             0.99434,             0.89545,           0.0065358,           0.0027028,          0.00030705,           0.0081784,           0.0081784,           0.0081784
                  94,            0.015854,           0.0045793,           0.0003684,             0.99361,             0.99286,             0.99435,             0.89804,           0.0064183,            0.002743,          0.00026038,           0.0081586,           0.0081586,           0.0081586
                  95,            0.017705,           0.0044999,          0.00032226,             0.99663,              0.9928,             0.99442,             0.89529,           0.0067869,           0.0027834,          0.00025027,           0.0081388,           0.0081388,           0.0081388
                  96,            0.015618,           0.0044548,          0.00036428,             0.99568,             0.99364,             0.99432,             0.88999,           0.0064938,           0.0027808,           0.0002632,            0.008119,            0.008119,            0.008119
                  97,            0.018335,           0.0044885,           0.0003475,             0.99663,             0.99385,             0.99437,             0.89211,           0.0064044,           0.0027622,          0.00024729,           0.0080992,           0.0080992,           0.0080992
                  98,            0.011895,           0.0044964,          0.00033708,             0.99073,             0.99593,             0.99432,             0.89459,           0.0063695,           0.0027582,           0.0002952,           0.0080794,           0.0080794,           0.0080794
                  99,             0.01333,           0.0044786,          0.00031168,             0.99122,             0.99408,              0.9943,             0.89455,           0.0064602,           0.0027824,           0.0002791,           0.0080596,           0.0080596,           0.0080596
                 100,            0.013153,           0.0043617,          0.00032212,             0.99385,             0.99815,             0.99436,              0.8971,           0.0063464,           0.0026977,          0.00025122,           0.0080398,           0.0080398,           0.0080398
                 101,            0.011802,           0.0045057,          0.00034831,              0.9945,             0.99656,             0.99439,             0.89688,           0.0064151,             0.00269,          0.00026497,             0.00802,             0.00802,             0.00802
                 102,            0.014587,           0.0044285,          0.00037132,             0.99423,             0.99386,             0.99438,             0.89405,           0.0061311,           0.0026941,          0.00024678,           0.0080002,           0.0080002,           0.0080002
                 103,            0.013351,           0.0044481,          0.00031381,             0.99545,             0.99699,             0.99435,             0.90102,           0.0062598,            0.002682,          0.00023095,           0.0079804,           0.0079804,           0.0079804
                 104,            0.014664,           0.0044357,          0.00031331,             0.99709,             0.99519,             0.99435,              0.8933,           0.0064634,           0.0026704,            0.000238,           0.0079606,           0.0079606,           0.0079606
                 105,             0.01534,           0.0044493,          0.00031024,             0.99667,             0.99533,             0.99435,             0.89167,           0.0064569,           0.0027724,          0.00022875,           0.0079408,           0.0079408,           0.0079408
                 106,            0.013337,           0.0044449,          0.00048762,              0.9915,             0.99639,              0.9943,             0.89214,           0.0067783,           0.0026876,          0.00022056,            0.007921,            0.007921,            0.007921
                 107,            0.013774,            0.004532,          0.00061184,             0.99501,             0.99574,             0.99438,             0.88476,           0.0066166,           0.0028074,          0.00024977,           0.0079012,           0.0079012,           0.0079012
                 108,                 nan,                 nan,          0.00066519,             0.98795,             0.98705,             0.99387,             0.87889,           0.0080532,           0.0032444,           0.0038596,           0.0078814,           0.0078814,           0.0078814
                 109,            0.016701,           0.0048602,           0.0010588,             0.98722,             0.99415,             0.99422,             0.86672,           0.0075196,           0.0029935,          0.00023634,           0.0078616,           0.0078616,           0.0078616
                 110,            0.015114,           0.0047561,          0.00057469,             0.99373,             0.99218,             0.99422,             0.88413,           0.0070795,           0.0028706,          0.00021396,           0.0078418,           0.0078418,           0.0078418
                 111,            0.012821,           0.0049027,          0.00031079,             0.99524,             0.99338,             0.99445,             0.87483,            0.007246,           0.0029926,          0.00020998,            0.007822,            0.007822,            0.007822
                 112,            0.013611,           0.0048483,          0.00032265,             0.98836,             0.99385,             0.99291,             0.88398,           0.0065565,           0.0027494,          0.00040497,           0.0078022,           0.0078022,           0.0078022
                 113,            0.013694,           0.0047283,          0.00035452,             0.99085,             0.98215,             0.99422,             0.86065,            0.007583,           0.0031271,          0.00022227,           0.0077824,           0.0077824,           0.0077824
                 114,            0.014152,            0.004703,           0.0003135,             0.99192,             0.99064,             0.99423,             0.89565,           0.0065043,           0.0027472,          0.00023145,           0.0077626,           0.0077626,           0.0077626
                 115,             0.01599,           0.0045986,          0.00036714,             0.99391,             0.99531,             0.99437,             0.88894,           0.0066101,           0.0027353,          0.00022137,           0.0077428,           0.0077428,           0.0077428
                 116,            0.014117,           0.0046773,          0.00032488,             0.98994,              0.9952,             0.99429,             0.88696,           0.0063517,           0.0027478,          0.00025176,            0.007723,            0.007723,            0.007723
                 117,            0.013133,           0.0045816,          0.00033584,             0.99816,             0.98969,             0.99433,             0.89739,           0.0063746,           0.0026762,          0.00021213,           0.0077032,           0.0077032,           0.0077032
                 118,            0.015252,           0.0045083,          0.00030566,             0.99201,             0.99548,             0.99435,             0.89336,            0.006266,           0.0027491,          0.00021328,           0.0076834,           0.0076834,           0.0076834
                 119,            0.012622,           0.0044816,          0.00029145,             0.98914,             0.99605,             0.99431,             0.89589,           0.0063707,           0.0027661,          0.00020981,           0.0076636,           0.0076636,           0.0076636
                 120,            0.015212,           0.0044084,          0.00030707,              0.9921,             0.99386,              0.9943,             0.89836,           0.0062892,             0.00271,          0.00021636,           0.0076438,           0.0076438,           0.0076438
                 121,            0.011461,           0.0043922,          0.00031872,             0.98741,             0.99374,             0.99393,               0.896,           0.0063336,           0.0026983,          0.00026315,            0.007624,            0.007624,            0.007624
                 122,            0.019467,           0.0045796,          0.00033624,             0.99137,               0.988,             0.99422,             0.89428,           0.0063107,           0.0027246,          0.00021251,           0.0076042,           0.0076042,           0.0076042
                 123,            0.013271,           0.0044764,          0.00026791,              0.9871,             0.99777,             0.99423,             0.89396,           0.0062344,           0.0027229,          0.00025233,           0.0075844,           0.0075844,           0.0075844
                 124,            0.010658,           0.0044508,          0.00028952,               0.997,             0.99804,             0.99436,             0.89518,           0.0061756,           0.0026692,          0.00020285,           0.0075646,           0.0075646,           0.0075646
                 125,             0.01452,           0.0044607,          0.00032121,             0.99171,             0.99639,             0.99434,             0.89936,           0.0060894,            0.002723,          0.00023924,           0.0075448,           0.0075448,           0.0075448
                 126,             0.01436,           0.0044792,          0.00031675,             0.99384,             0.99534,             0.99431,             0.89684,           0.0060354,           0.0026983,          0.00021663,            0.007525,            0.007525,            0.007525
                 127,            0.013834,           0.0044722,          0.00031953,             0.99625,             0.99665,             0.99439,             0.89989,            0.006221,           0.0026583,          0.00022377,           0.0075052,           0.0075052,           0.0075052
                 128,            0.013717,           0.0044499,          0.00034468,             0.99169,             0.99734,             0.99439,             0.89428,           0.0061685,           0.0026943,          0.00021088,           0.0074854,           0.0074854,           0.0074854
                 129,             0.01708,           0.0044133,          0.00031187,             0.99535,             0.99678,             0.99436,             0.90182,           0.0061044,           0.0026675,          0.00019725,           0.0074656,           0.0074656,           0.0074656
                 130,            0.011295,           0.0042529,          0.00028351,             0.99315,             0.99519,             0.99432,             0.89638,           0.0061199,           0.0026906,          0.00020956,           0.0074458,           0.0074458,           0.0074458
                 131,            0.012832,           0.0044121,          0.00030271,             0.99091,              0.9955,             0.99427,              0.8987,           0.0060314,           0.0026797,          0.00024398,            0.007426,            0.007426,            0.007426
                 132,            0.014536,            0.004364,          0.00031942,             0.99354,             0.99684,             0.99432,             0.90003,           0.0060807,           0.0026384,          0.00021354,           0.0074062,           0.0074062,           0.0074062
                 133,            0.015839,           0.0043142,          0.00031397,             0.99453,             0.99542,             0.99432,             0.89753,           0.0060586,           0.0026214,          0.00020958,           0.0073864,           0.0073864,           0.0073864
                 134,            0.011726,           0.0043617,           0.0002811,             0.98795,             0.99759,              0.9943,              0.9011,           0.0060055,           0.0026456,          0.00022813,           0.0073666,           0.0073666,           0.0073666
                 135,            0.014982,           0.0043539,          0.00050536,             0.99579,             0.99635,             0.99434,             0.89194,           0.0060909,           0.0026375,          0.00020768,           0.0073468,           0.0073468,           0.0073468
                 136,             0.01482,           0.0044385,          0.00035373,             0.95544,             0.96224,             0.98867,              0.8895,           0.0063522,           0.0027743,           0.0012838,            0.007327,            0.007327,            0.007327
                 137,            0.012185,           0.0044858,           0.0002841,             0.99136,             0.99138,             0.99401,             0.89797,           0.0061638,           0.0026654,          0.00025018,           0.0073072,           0.0073072,           0.0073072
                 138,            0.014297,           0.0044577,          0.00031773,             0.99363,             0.99278,             0.99421,             0.89743,           0.0063176,           0.0026976,          0.00021093,           0.0072874,           0.0072874,           0.0072874
                 139,            0.016326,           0.0043985,          0.00028545,             0.99518,             0.99467,             0.99428,             0.88987,            0.006232,           0.0027012,          0.00020765,           0.0072676,           0.0072676,           0.0072676
                 140,            0.016976,            0.004336,          0.00032967,             0.98831,              0.9981,             0.99427,             0.89696,           0.0060832,           0.0026597,          0.00021873,           0.0072478,           0.0072478,           0.0072478
                 141,            0.012017,           0.0042191,          0.00026422,             0.98818,             0.99876,             0.99427,              0.8971,           0.0060306,           0.0026599,          0.00019322,            0.007228,            0.007228,            0.007228
                 142,            0.010094,           0.0043457,          0.00028139,             0.99271,             0.99519,             0.99432,             0.89686,           0.0061107,           0.0026819,          0.00020271,           0.0072082,           0.0072082,           0.0072082
                 143,            0.016133,           0.0043002,          0.00030283,             0.99291,             0.99639,             0.99433,             0.89988,           0.0059482,           0.0026356,           0.0001996,           0.0071884,           0.0071884,           0.0071884
                 144,            0.012625,           0.0042914,           0.0002798,             0.98992,             0.99639,             0.99431,               0.898,           0.0060495,           0.0026467,          0.00021192,           0.0071686,           0.0071686,           0.0071686
                 145,            0.010471,           0.0042514,          0.00034887,             0.99532,             0.99673,             0.99428,              0.9003,           0.0058879,           0.0025766,           0.0002139,           0.0071488,           0.0071488,           0.0071488
                 146,            0.014115,           0.0042488,          0.00030555,             0.99243,             0.99339,             0.99425,              0.9002,           0.0060685,           0.0026371,          0.00022015,            0.007129,            0.007129,            0.007129
                 147,            0.011762,           0.0042763,          0.00029304,             0.99517,             0.99086,              0.9943,              0.8999,            0.006046,           0.0025926,          0.00020047,           0.0071092,           0.0071092,           0.0071092
                 148,            0.014516,           0.0042971,          0.00033138,             0.98993,             0.99498,             0.99424,             0.89609,           0.0060836,           0.0026295,          0.00021352,           0.0070894,           0.0070894,           0.0070894
                 149,            0.013922,           0.0041708,          0.00028327,             0.99383,             0.99579,             0.99433,             0.89758,           0.0059083,           0.0026389,          0.00019623,           0.0070696,           0.0070696,           0.0070696
                 150,            0.014523,           0.0042919,          0.00026134,             0.99578,              0.9947,             0.99433,             0.90085,           0.0058645,           0.0026159,          0.00019948,           0.0070498,           0.0070498,           0.0070498
                 151,            0.014447,           0.0042254,          0.00028336,             0.99654,             0.99293,             0.99432,             0.90259,           0.0060269,           0.0026612,          0.00019049,             0.00703,             0.00703,             0.00703
                 152,            0.011529,             0.00417,          0.00028249,             0.99266,             0.99376,             0.99432,             0.90218,           0.0059559,           0.0025905,          0.00019904,           0.0070102,           0.0070102,           0.0070102
